12/14-18:27:04; 1:1000012:1; SSH incoming; 3; TCP; 10.0.0.20; 51656; 10.0.0.22; 22
12/14-18:27:04; 1:1000012:1; SSH incoming; 3; TCP; 10.0.0.20; 51666; 10.0.0.22; 22
12/14-18:27:04; 1:1000013:1; Potential SSH Brute Force Attack; 2; TCP; 10.0.0.20; 51670; 10.0.0.22; 22
12/14-18:27:04; 1:1000012:1; SSH incoming; 3; TCP; 10.0.0.20; 51670; 10.0.0.22; 22
12/14-18:27:04; 1:1000012:1; SSH incoming; 3; TCP; 10.0.0.20; 51676; 10.0.0.22; 22
12/14-18:27:04; 1:1000012:1; SSH incoming; 3; TCP; 10.0.0.20; 51682; 10.0.0.22; 22
12/14-18:27:15; 1:1000006:1; Nmap SYN Scan Detected; 4; TCP; 10.0.0.20; 52122; 100.0.0.40; 256
12/14-18:27:15; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 52122; 100.0.0.40; 22
12/14-18:27:15; 1:1000006:1; Nmap SYN Scan Detected; 4; TCP; 10.0.0.20; 52122; 100.0.0.40; 256
12/14-18:27:15; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 52122; 100.0.0.40; 22
12/14-18:27:21; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 42152; 100.0.0.40; 22
12/14-18:27:21; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 42152; 100.0.0.40; 22
12/14-18:27:22; 1:1000005:1; Potential SSH Brute Force Attack; 2; TCP; 10.0.0.20; 42154; 100.0.0.40; 22
12/14-18:27:22; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 42154; 100.0.0.40; 22
12/14-18:27:22; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 42156; 100.0.0.40; 22
12/14-18:27:22; 1:1000005:1; Potential SSH Brute Force Attack; 2; TCP; 10.0.0.20; 42154; 100.0.0.40; 22
12/14-18:27:22; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 42172; 100.0.0.40; 22
12/14-18:27:22; 1:1000005:1; Potential SSH Brute Force Attack; 2; TCP; 10.0.0.20; 42180; 100.0.0.40; 22
12/14-18:27:22; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 42180; 100.0.0.40; 22
12/14-18:27:22; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 42154; 100.0.0.40; 22
12/14-18:27:22; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 42156; 100.0.0.40; 22
12/14-18:27:22; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 42172; 100.0.0.40; 22
12/14-18:27:22; 1:1000005:1; Potential SSH Brute Force Attack; 2; TCP; 10.0.0.20; 42180; 100.0.0.40; 22
12/14-18:27:22; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 42180; 100.0.0.40; 22
12/14-18:28:18; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 38874; 100.0.0.40; 22
12/14-18:28:18; 1:1000004:1; SSH incoming; 3; TCP; 10.0.0.20; 38874; 100.0.0.40; 22
12/14-18:28:18; 1:1000001:1; ICMP Packet Detected; 0; ICMP; 10.0.0.20; ; 100.0.0.40; 
12/14-18:28:18; 1:1000002:1; ICMP Packet Detected; 0; ICMP; 100.0.0.40; ; 10.0.0.20; 
12/14-18:28:18; 1:1000001:1; ICMP Packet Detected; 0; ICMP; 10.0.0.20; ; 100.0.0.40; 
12/14-18:28:18; 1:1000002:1; ICMP Packet Detected; 0; ICMP; 100.0.0.40; ; 10.0.0.20; 
12/14-18:28:19; 1:1000001:1; ICMP Packet Detected; 0; ICMP; 10.0.0.20; ; 100.0.0.40; 
12/14-18:28:19; 1:1000001:1; ICMP Packet Detected; 0; ICMP; 10.0.0.20; ; 100.0.0.40; 
12/14-18:28:19; 1:1000002:1; ICMP Packet Detected; 0; ICMP; 100.0.0.40; ; 10.0.0.20; 
12/14-18:28:19; 1:1000002:1; ICMP Packet Detected; 0; ICMP; 100.0.0.40; ; 10.0.0.20; 
12/14-18:28:20; 1:1000001:1; ICMP Packet Detected; 0; ICMP; 10.0.0.20; ; 100.0.0.40; 
12/14-18:28:20; 1:1000001:1; ICMP Packet Detected; 0; ICMP; 10.0.0.20; ; 100.0.0.40; 
12/14-18:28:20; 1:1000002:1; ICMP Packet Detected; 0; ICMP; 100.0.0.40; ; 10.0.0.20; 
